ITEM_NUMBER,CUSTOMER_NUMBER,CUSTOMER_NAME,AD_AMOUNT,DATE_FROM,DATE_TO
EVL40893T50BK,206409,"AMAZON.COM, INC. DROP SHIP",6.00,6/1/2025,6/7/2025
EVL40893T50BZ,206409,"AMAZON.COM, INC. DROP SHIP",6.00,6/1/2025,6/7/2025
EVL40893T50WH-6,206409,"AMAZON.COM, INC. DROP SHIP",6.00,6/1/2025,6/7/2025
EVL61093T50WH-6,206409,"AMAZON.COM, INC. DROP SHIP",6.00,6/1/2025,6/7/2025
EVL40893T50BK-6,206409,"AMAZON.COM, INC. DROP SHIP",6.00,6/1/2025,6/7/2025
RB6BK9105C6,206409,"AMAZON.COM, INC. DROP SHIP",8.85,6/1/2025,6/7/2025
RB6BZ9105C6,206409,"AMAZON.COM, INC. DROP SHIP",8.85,6/1/2025,6/7/2025
RB6WH9105C12,206409,"AMAZON.COM, INC. DROP SHIP",8.85,6/1/2025,6/7/2025
